Year,AuthorGender,n_authors,Group,total_authors,percent
1990,Female,9,All authors,119,0.07563025210084033
1990,Male,104,All authors,119,0.8739495798319328
1990,Unknown,6,All authors,119,0.05042016806722689
1991,Female,7,All authors,124,0.056451612903225805
1991,Male,108,All authors,124,0.8709677419354839
1991,Unknown,9,All authors,124,0.07258064516129033
1992,Female,17,All authors,125,0.136
1992,Male,106,All authors,125,0.848
1992,Unknown,2,All authors,125,0.016
1993,Female,14,All authors,121,0.11570247933884298
1993,Male,102,All authors,121,0.8429752066115702
1993,Unknown,5,All authors,121,0.04132231404958678
1994,Female,11,All authors,129,0.08527131782945736
1994,Male,114,All authors,129,0.8837209302325582
1994,Unknown,4,All authors,129,0.031007751937984496
1995,Female,21,All authors,178,0.11797752808988764
1995,Male,156,All authors,178,0.8764044943820225
1995,Unknown,1,All authors,178,0.0056179775280898875
1996,Female,36,All authors,225,0.16
1996,Male,189,All authors,225,0.84
1997,Female,28,All authors,222,0.12612612612612611
1997,Male,192,All authors,222,0.8648648648648649
1997,Unknown,2,All authors,222,0.009009009009009009
1998,Female,30,All authors,230,0.13043478260869565
1998,Male,200,All authors,230,0.8695652173913043
1999,Female,23,All authors,235,0.09787234042553192
1999,Male,212,All authors,235,0.902127659574468
2000,Female,40,All authors,268,0.14925373134328357
2000,Male,226,All authors,268,0.8432835820895522
2000,Unknown,2,All authors,268,0.007462686567164179
2001,Female,44,All authors,279,0.15770609318996415
2001,Male,234,All authors,279,0.8387096774193549
2001,Unknown,1,All authors,279,0.0035842293906810036
2002,Female,35,All authors,268,0.13059701492537312
2002,Male,232,All authors,268,0.8656716417910447
2002,Unknown,1,All authors,268,0.0037313432835820895
2003,Female,33,All authors,285,0.11578947368421053
2003,Male,251,All authors,285,0.8807017543859649
2003,Unknown,1,All authors,285,0.0035087719298245615
2004,Female,38,All authors,285,0.13333333333333333
2004,Male,246,All authors,285,0.8631578947368421
2004,Unknown,1,All authors,285,0.0035087719298245615
2005,Female,55,All authors,382,0.14397905759162305
2005,Male,325,All authors,382,0.8507853403141361
2005,Unknown,2,All authors,382,0.005235602094240838
2006,Female,39,All authors,338,0.11538461538461539
2006,Male,297,All authors,338,0.878698224852071
2006,Unknown,2,All authors,338,0.005917159763313609
2007,Female,58,All authors,339,0.1710914454277286
2007,Male,275,All authors,339,0.8112094395280236
2007,Unknown,6,All authors,339,0.017699115044247787
2008,Female,58,All authors,339,0.1710914454277286
2008,Male,278,All authors,339,0.8200589970501475
2008,Unknown,3,All authors,339,0.008849557522123894
2009,Female,64,All authors,376,0.1702127659574468
2009,Male,307,All authors,376,0.8164893617021277
2009,Unknown,5,All authors,376,0.013297872340425532
2010,Female,69,All authors,364,0.18956043956043955
2010,Male,289,All authors,364,0.7939560439560439
2010,Unknown,6,All authors,364,0.016483516483516484
2011,Female,71,All authors,401,0.1770573566084788
2011,Male,328,All authors,401,0.8179551122194514
2011,Unknown,2,All authors,401,0.004987531172069825
2012,Female,82,All authors,426,0.19248826291079812
2012,Male,344,All authors,426,0.8075117370892019
2013,Female,66,All authors,347,0.19020172910662825
2013,Male,275,All authors,347,0.792507204610951
2013,Unknown,6,All authors,347,0.01729106628242075
2014,Female,93,All authors,502,0.1852589641434263
2014,Male,401,All authors,502,0.798804780876494
2014,Unknown,8,All authors,502,0.01593625498007968
2015,Female,103,All authors,489,0.21063394683026584
