Year,AuthorGender,count,percent,Group
1990,Female,3,0.16666666666666666,Committee
1990,Male,14,0.7777777777777778,Committee
1990,Unknown,1,0.05555555555555555,Committee
1991,Female,3,0.125,Committee
1991,Male,20,0.8333333333333334,Committee
1991,Unknown,1,0.041666666666666664,Committee
1992,Female,4,0.14814814814814814,Committee
1992,Male,23,0.8518518518518519,Committee
1993,Female,8,0.23529411764705882,Committee
1993,Male,26,0.7647058823529411,Committee
1994,Female,11,0.2619047619047619,Committee
1994,Male,29,0.6904761904761905,Committee
1994,Unknown,2,0.047619047619047616,Committee
1995,Female,5,0.1388888888888889,Committee
1995,Male,30,0.8333333333333334,Committee
1995,Unknown,1,0.027777777777777776,Committee
1996,Female,11,0.25,Committee
1996,Male,33,0.75,Committee
1997,Female,8,0.17777777777777778,Committee
1997,Male,37,0.8222222222222222,Committee
1998,Female,10,0.19230769230769232,Committee
1998,Male,42,0.8076923076923077,Committee
1999,Female,10,0.2,Committee
1999,Male,40,0.8,Committee
2000,Female,6,0.13333333333333333,Committee
2000,Male,39,0.8666666666666667,Committee
2001,Female,12,0.23529411764705882,Committee
2001,Male,38,0.7450980392156863,Committee
2001,Unknown,1,0.0196078431372549,Committee
2002,Female,12,0.2222222222222222,Committee
2002,Male,41,0.7592592592592593,Committee
2002,Unknown,1,0.018518518518518517,Committee
2003,Female,11,0.2391304347826087,Committee
2003,Male,35,0.7608695652173914,Committee
2004,Female,15,0.21739130434782608,Committee
2004,Male,54,0.782608695652174,Committee
2005,Female,14,0.21212121212121213,Committee
2005,Male,51,0.7727272727272727,Committee
2005,Unknown,1,0.015151515151515152,Committee
2006,Female,17,0.24285714285714285,Committee
2006,Male,52,0.7428571428571429,Committee
2006,Unknown,1,0.014285714285714285,Committee
2007,Female,9,0.15517241379310345,Committee
2007,Male,48,0.8275862068965517,Committee
2007,Unknown,1,0.017241379310344827,Committee
2008,Female,16,0.22857142857142856,Committee
2008,Male,53,0.7571428571428571,Committee
2008,Unknown,1,0.014285714285714285,Committee
2009,Female,15,0.22388059701492538,Committee
2009,Male,51,0.7611940298507462,Committee
2009,Unknown,1,0.014925373134328358,Committee
2010,Female,14,0.1891891891891892,Committee
2010,Male,60,0.8108108108108109,Committee
2011,Female,17,0.20481927710843373,Committee
2011,Male,66,0.7951807228915663,Committee
2012,Female,20,0.2247191011235955,Committee
2012,Male,69,0.7752808988764045,Committee
2013,Female,20,0.21978021978021978,Committee
2013,Male,71,0.7802197802197802,Committee
2014,Female,26,0.25742574257425743,Committee
2014,Male,75,0.7425742574257426,Committee
2015,Female,29,0.30526315789473685,Committee
2015,Male,66,0.6947368421052632,Committee
2016,Female,26,0.2765957446808511,Committee
2016,Male,67,0.7127659574468085,Committee
2016,Unknown,1,0.010638297872340425,Committee
2017,Female,25,0.2403846153846154,Committee
2017,Male,78,0.75,Committee
2017,Unknown,1,0.009615384615384616,Committee
2018,Female,28,0.25688073394495414,Committee
2018,Male,80,0.7339449541284404,Committee
2018,Unknown,1,0.009174311926605505,Committee
2019,Female,38,0.3247863247863248,Committee
2019,Male,78,0.6666666666666666,Committee
2019,Unknown,1,0.008547008547008548,Committee
2020,Female,38,0.34234234234234234,Committee
2020,Male,73,0.6576576576576577,Committee
1990,Female,9,0.07964601769911504,Paper
1991,Female,7,0.06086956521739131,Paper
1992,Female,17,0.13821138211382114,Paper
1993,Female,14,0.1206896551724138,Paper
1994,Female,11,0.088,Paper
1995,Female,21,0.11864406779661017,Paper
1996,Female,36,0.16,Paper
1997,Female,28,0.12727272727272726,Paper
1998,Female,30,0.13043478260869565,Paper
1999,Female,23,0.09787234042553192,Paper
2000,Female,40,0.15037593984962405,Paper
2001,Female,44,0.15827338129496402,Paper
2002,Female,35,0.13108614232209737,Paper
2003,Female,33,0.11619718309859155,Paper
2004,Female,38,0.13380281690140844,Paper
2005,Female,55,0.14473684210526316,Paper
2006,Female,39,0.11607142857142858,Paper
2007,Female,58,0.17417417417417416,Paper
2008,Female,58,0.17261904761904762,Paper
2009,Female,64,0.1725067385444744,Paper
2010,Female,69,0.19273743016759776,Paper
2011,Female,71,0.17794486215538846,Paper
2012,Female,82,0.19248826291079812,Paper
2013,Female,66,0.1935483870967742,Paper
2014,Female,93,0.1882591093117409,Paper
2015,Female,103,0.2150313152400835,Paper
2016,Female,85,0.19630484988452657,Paper
2017,Female,103,0.2340909090909091,Paper
2018,Female,107,0.2192622950819672,Paper
2019,Female,140,0.2631578947368421,Paper
2020,Female,140,0.23255813953488372,Paper
1990,Male,104,0.9203539823008849,Paper
1991,Male,108,0.9391304347826087,Paper
1992,Male,106,0.8617886178861789,Paper
1993,Male,102,0.8793103448275862,Paper
1994,Male,114,0.912,Paper
1995,Male,156,0.8813559322033898,Paper
1996,Male,189,0.84,Paper
1997,Male,192,0.8727272727272727,Paper
1998,Male,200,0.8695652173913043,Paper
1999,Male,212,0.902127659574468,Paper
2000,Male,226,0.849624060150376,Paper
2001,Male,234,0.841726618705036,Paper
2002,Male,232,0.8689138576779026,Paper
2003,Male,251,0.8838028169014085,Paper
2004,Male,246,0.8661971830985915,Paper
2005,Male,325,0.8552631578947368,Paper
2006,Male,297,0.8839285714285714,Paper
2007,Male,275,0.8258258258258259,Paper
2008,Male,278,0.8273809523809523,Paper
2009,Male,307,0.8274932614555256,Paper
2010,Male,289,0.8072625698324022,Paper
2011,Male,328,0.8220551378446115,Paper
2012,Male,344,0.8075117370892019,Paper
2013,Male,275,0.8064516129032258,Paper
2014,Male,401,0.8117408906882592,Paper
2015,Male,376,0.7849686847599165,Paper
2016,Male,348,0.8036951501154734,Paper
2017,Male,337,0.7659090909090909,Paper
2018,Male,381,0.7807377049180327,Paper
2019,Male,392,0.7368421052631579,Paper
2020,Male,462,0.7674418604651163,Paper
