n_male,n_female,n_authors,real_count,n_papers,exp_prob,exp_count,diff,ratio,pct_diff,side,p_value,s_value,s_value_side
0,1,1,27,193,0.16860411048079604,32.54059332279363,-5.540593322793633,0.8297328734042281,-18.61114582031736,less,0.16644061300088084,2.586920587935538,-2.586920587935538
0,2,2,16,701,0.028427346071020473,19.927569595785354,-3.9275695957853536,0.80290774663178055,-21.86382012462148,less,0.22207444795837838,2.1708846899558156,-2.1708846899558156
0,3,3,11,679,0.004792967397634161,3.2544248629935955,7.745575137006405,3.3800135087099865,108.67608074619636,greater,5.474574378096932e-4,10.8349655730964,10.8349655730964
0,4,4,7,548,8.081140046415631e-4,0.4428464745435766,6.557153525456424,15.806832395390767,176.20015535409883,greater,4.3546584597143433e-7,21.130937092987594,21.130937092987594
0,5,5,3,354,1.3625134291966458e-4,0.048232975393561264,2.951767024606439,62.19811188344141,193.67069698636354,greater,1.7890901988236194e-5,15.770414350258186,15.770414350258186
0,6,6,0,229,2.2972536474783982e-5,0.005260710852725532,-0.005260710852725532,0,-200,less,0.994753042343588,0.0075896886363112075,-0.0075896886363112075
1,0,1,166,193,0.831395889519204,160.45940667720637,5.540593322793626,1.034529563816346,3.3943536068923903,greater,0.16644061300088084,2.586920587935538,2.586920587935538
1,1,2,148,701,0.2803535288195511,196.52782370250532,-48.527823702505316,0.7530740289682113,-28.170626790600448,less,1.6755116831566568e-5,15.865038728107256,-15.865038728107256
1,2,3,54,679,0.07090313602015892,48.14322935768791,5.856770642312092,1.121653049046591,11.467760867052078,greater,0.20930551011250678,2.2563178028477275,2.2563178028477275
1,3,4,16,548,0.015939413571970384,8.73479863743977,7.26520136256023,1.8317537317253727,58.744778714820626,greater,0.01651834864421915,5.9197867234699935,5.9197867234699935
1,4,5,5,354,0.003359313308609494,1.189196911247761,3.8108030887522393,4.2045181522997455,123.14370162716216,greater,0.007348612442374425,7.0883124172279866,7.0883124172279866
1,5,6,0,229,6.79672838669283e-4,0.1556450800552658,-0.1556450800552658,0,-200,less,0.8558176100618393,0.22462472944840017,-0.22462472944840017
1,6,7,0,109,1.3369490677875764e-4,0.014572744838884584,-0.014572744838884584,0,-200,less,0.9855319635480655,0.02102543223912071,-0.02102543223912071
2,0,2,537,701,0.6912191251094284,484.5446067017093,52.45539329829069,1.108257098671171,10.269819438948426,greater,6.746748826502427e-6,17.17737611632151,17.17737611632151
2,1,3,188,679,0.3496271572091677,237.39683974502486,-49.39683974502486,0.7919229261936286,-23.223886559492275,less,3.1141914613813165e-5,14.970782829989638,-14.970782829989638
2,2,4,73,548,0.11789715168236233,64.60763912193455,8.392360878065446,1.1298973463838613,12.197521782390222,greater,0.14814890409420967,2.75488014063472,2.75488014063472
2,3,5,19,354,0.033129907312706965,11.727987188698265,7.272012811301735,1.6200563399582708,47.33152722724629,greater,0.028623398180658205,5.126661230241363,5.126661230241363
2,4,6,4,229,0.00837875782915526,1.9187355428765547,2.0812644571234453,2.084706261292908,70.328009827313,greater,0.12772980559291652,2.968832879450029,2.968832879450029
2,5,7,0,109,0.0019777702150062222,0.21557695343567823,-0.21557695343567823,0,-200,less,0.8059041889806169,0.3113197627083122,-0.3113197627083122
2,6,8,0,58,4.4461358378204886e-4,0.025787587859358835,-0.025787587859358835,0,-200,less,0.9745364837405118,0.037211898192036866,-0.037211898192036866
3,0,3,426,679,0.5746767393730391,390.20550603429353,35.794493965706465,1.0917324164117783,8.770951359939131,greater,0.002937155599997521,8.411364588152024,8.411364588152024
3,1,4,170,548,0.3875714418239821,212.3891501195422,-42.389150119542194,0.8004175350026889,-22.170686645418954,less,9.846999214439036e-5,13.309956331393282,-13.309956331393282
3,2,5,65,354,0.16336534549123016,57.83133230389548,7.168667696104521,1.1239581972352666,11.67237635812434,greater,0.16844409610090735,2.569658231433386,2.569658231433386
3,3,6,18,229,0.05508813751987358,12.615183492051049,5.384816507948951,1.4268520161709877,35.17742436100094,greater,0.08363374881687081,3.5797709576886527,3.5797709576886527
3,4,7,9,109,0.016254151243018607,1.7717024854890282,7.228297514510972,5.0798596681517925,134.20900780073507,greater,7.826672634847639e-5,13.64124137170401,13.64124137170401
3,5,8,1,58,0.004384826739119159,0.2543199508689112,0.7456800491310889,3.932054864682828,118.89790138704728,greater,0.22498985595178114,2.1520681383249234,2.1520681383249234
3,6,9,0,35,0.0011089497179423936,0.038813240127983775,-0.038813240127983775,0,-200,less,0.9619096255948969,0.05602674021720557,-0.05602674021720557
4,0,4,282,548,0.4777838789170436,261.82556564653987,20.17443435346013,1.0770529581541906,7.419450510560413,greater,0.04629682883112537,4.4329428124078385,4.4329428124078385
4,1,5,118,354,0.4027816295343625,142.5846968551643,-24.58469685516431,0.8275782927803457,-18.868872310509268,less,0.004209925473583232,7.891989590525656,-7.891989590525656
4,2,6,53,229,0.20373191509694008,46.65460855719928,6.345391442800718,1.1360078165701717,12.734767683440591,greater,0.1683640519031614,2.5703439593173365,2.5703439593173365
4,3,7,4,109,0.08015008941676019,8.73635974642686,-4.73635974642686,0.4578566034481336,-74.3754077416921,less,0.05711457195672408,4.129997314455771,-4.129997314455771
4,4,8,0,58,0.027027269062138235,1.5675816056040177,-1.5675816056040177,0,-200,less,0.20409801580495993,2.292665938005506,-2.292665938005506
4,5,9,0,35,0.008202435586104517,0.2870852455136581,-0.2870852455136581,0,-200,less,0.7495598414038722,0.415884433992007,-0.415884433992007
4,6,10,1,12,0.0023049405929519633,0.027659287115423557,0.9723407128845765,36.154221756582196,189.23406328840312,greater,0.027311325646897103,5.194356847923859,5.194356847923859
5,0,5,144,354,0.3972275530101711,140.61855376560058,3.3814462343994194,1.0240469421982252,2.3761249501564334,greater,0.3758993055001639,1.4115818449823438,1.4115818449823438
5,1,6,73,229,0.40184518940245895,92.0225483731631,-19.022548373163104,0.7932838341313451,-23.054483839563176,less,0.005775482154225645,7.435842892683341,-7.435842892683341
5,2,7,24,109,0.23713462748566014,25.847674395936956,-1.8476743959369557,0.9285168031895591,-7.41328223764661,less,0.38776489681712467,1.3667458883484636,-1.3667458883484636
5,3,8,7,58,0.10661832781710577,6.183863013392135,0.8161369866078649,1.1319785035406493,12.380847491798649,greater,0.4247453361758515,1.2353299885912528,1.2353299885912528
5,4,9,2,35,0.040446648725744314,1.415632705401051,0.5843672945989491,1.4127958420071942,34.21722093683576,greater,0.41649049030972923,1.2636445398478524,1.2636445398478524
5,5,10,0,12,0.013638942460666667,0.16366730952800002,-0.16366730952800002,0,-200,less,0.8480686532051815,0.23774703572441078,-0.23774703572441078
5,6,11,0,2,0.00421589989604569,0.00843179979209138,-0.00843179979209138,0,-200,less,0.991585974019842,0.012190230234742408,-0.012190230234742408
6,0,6,81,229,0.330253354776428,75.628018243802,5.371981756197997,1.0710316345838964,6.859541244831622,greater,0.24551510619088715,2.026116300668369,2.026116300668369
6,1,7,37,109,0.3897745118076487,42.48542178703371,-5.485421787033708,0.870886964132534,-13.802334223578425,less,0.16383007608655792,2.6097278622195748,-2.6097278622195748
6,2,8,8,58,0.2628703394056606,15.246479685528316,-7.246479685528316,0.5247112884421088,-62.344748826976016,less,0.01745272544430066,5.840403842282582,-5.840403842282582
6,3,9,3,35,0.132963059241829,4.653707073464015,-1.6537070734640151,0.6446473644863366,-43.21323138162795,less,0.298137710968241,1.7459492237988206,-1.7459492237988206
6,4,10,1,12,0.05604529582568491,0.672543549908219,0.32745645009178104,1.4868925590565378,39.15670239017098,greater,0.4994887296249428,1.001475969217303,1.001475969217303
6,5,11,0,2,0.020788827948509905,0.04157765589701981,-0.04157765589701981,0,-200,less,0.958854519470453,0.060616153429006316,-0.060616153429006316
6,6,12,0,1,0.007010163688393642,0.007010163688393642,-0.007010163688393642,0,-200,less,0.9929898363116063,0.010149143677403112,-0.010149143677403112
